splunk-add-on-for-amazon-kinesis-firehose,Splunk_TA_aws-kinesis-firehose,internal,"Splunk Add-on For Kinesis Firehose",master
splunk-add-on-for-amazon-web-services,Splunk_TA_aws,internal,"Splunk Add-on for AWS",master
splunk-add-on-for-apache-web-server,Splunk_TA_apache,internal,"Splunk Add-on for Apache",develop
splunk-add-on-for-bmc-remedy,Splunk_TA_remedy,internal,"Splunk Add-on for BMC Remedy",master
splunk-add-on-for-box,Splunk_TA_box,internal,"Splunk Add-on for Box",develop
splunk-add-on-for-bromium,Splunk_TA_bromium,internal,"Splunk Add-on for Bromium",develop
splunk-add-on-for-carbon-black,Splunk_TA_bit9-carbonblack,internal,"Splunk Add-on for Carbon Black",develop
splunk-add-on-for-check-point-opsec-lea,Splunk_TA_checkpoint-opseclea,internal,"Splunk Add-on for Check Point OPSEC LEA",develop
splunk-add-on-for-cisco-asa,Splunk_TA_cisco-asa,internal,"Splunk Add-on for Cisco ASA",develop
splunk-add-on-for-cisco-esa,Splunk_TA_cisco-esa,internal,"Splunk Add-on for Cisco ESA",develop
splunk-add-on-for-cisco-firesight,Splunk_TA_sourcefire,internal,"Splunk Add-on for Cisco FireSIGHT",develop
splunk-add-on-for-cisco-identity-services,Splunk_TA_cisco-ise,internal,"Splunk Add-on for Cisco ISE",develop
splunk-add-on-for-cisco-ucs,Splunk_TA_cisco-ucs,internal,"Splunk Add-on for Cisco UCS",develop
splunk-add-on-for-cisco-wsa,Splunk_TA_cisco-wsa,internal,"Splunk Add-on for Cisco WSA",master
splunk-add-on-for-citrix-netscaler,Splunk_TA_citrix-netscaler,internal,"Splunk Add-on for Citrix NetScaler",master
splunk-add-on-for-cyberark,Splunk_TA_cyberark,internal,"Splunk Add-on for CyberArk",develop
splunk-add-on-for-cyberark-epm,Splunk_TA_cyberark_epm,internal,Splunk Add-on for CyberArk EPM,develop
splunk-add-on-for-f5-big-ip,Splunk_TA_f5-bigip,internal,"Splunk Add-on for F5 BIG-IP",develop
splunk-add-on-for-forcepoint-web-security,Splunk_TA_websense-cg,internal,"Splunk Add-on for Forcepoint Web Security",develop
splunk-add-on-for-google-cloud-platform,Splunk_TA_google-cloudplatform,internal,"Splunk Add-on for Google Cloud Platform",master
splunk-add-on-for-haproxy,Splunk_TA_haproxy,internal,"Splunk Add-on for HAProxy",master
splunk-add-on-for-ibm-websphere-application-server,Splunk_TA_ibm-was,internal,"Splunk Add-on for IBM WebSphere Application Server",develop
splunk-add-on-for-imperva-securesphere-waf,Splunk_TA_imperva-waf,internal,"Splunk Add-on for Imperva SecureSphere WAF",develop
splunk-add-on-for-infoblox,Splunk_TA_infoblox,internal,"Splunk Add-on for Infoblox",develop
splunk-add-on-for-isc-bind,Splunk_TA_isc-bind,internal,"Splunk Add-on for ISC BIND",master
splunk-add-on-for-isc-dhcp,Splunk_TA_isc-dhcp,internal,"Splunk Add-on for ISC DHCP",develop
splunk-add-on-for-java-management-extensions,Splunk_TA_jmx,internal,"Splunk Add-on for Java Management Extensions",develop
splunk-add-on-for-jboss,Splunk_TA_jboss,internal,"Splunk Add-on for JBoss",develop
splunk-add-on-for-juniper,Splunk_TA_juniper,internal,"Splunk Add-on for Juniper",master
splunk-add-on-for-linux,Splunk_TA_linux,internal,"Splunk Add-on for Linux",develop
splunk-add-on-for-mcafee-epo-syslog,Splunk_TA_mcafee_epo_syslog,internal,"Splunk Add-on for McAfee EPO Syslog",develop
splunk-add-on-for-mcafee-web-gateway,Splunk_TA_mcafee-wg,internal,"Splunk Add-on for McAfee Web Gateway",develop
splunk-add-on-for-mcafee,Splunk_TA_mcafee,internal,"Splunk Add-on for McAfee",develop
splunk-add-on-for-microsoft-cloud-services,Splunk_TA_microsoft-cloudservices,internal,"Splunk Add-on for Microsoft Cloud Services",develop
splunk-add-on-for-microsoft-hyper-v,Splunk_TA_microsoft-hyperv,internal,"Splunk Add-on for Microsoft Hyper-V",develop
splunk-add-on-for-microsoft-iis,Splunk_TA_microsoft-iis,internal,"Splunk Add-on for Microsoft IIS",develop
splunk-add-on-for-microsoft-office-365,splunk_ta_o365,internal,"Splunk Add-on for Microsoft Office 365",develop
